paper_id,citation,year,title,venue,venue_type,paper_type,themes,algorithm_or_model,problem,proposed_solution,claim,dataset_testbed,abstract
acl-2023.icnlsp-1.34,Visperas et al. (2023),2023,iTANONG-DS : A Collection of Benchmark Datasets for Downstream Natural Language Processing Tasks on Select Philippine Languages,Proceedings of the 2023 International Conference on Natural Language and Speech Processing,conference,dataset-benchmark,"benchmark datasets, low-resource languages, Philippine languages, pretrained language models",iTANONG-DS datasets with pretrained BERT and RoBERTa language models,"Benchmark datasets for low-resource Philippine languages such as Tagalog and Cebuano are scarce, and existing corpora overrepresent formal text and miss informal everyday usage.","The authors release iTANONG-DS, unlabeled and labeled datasets for sentiment analysis, part-of-speech tagging, named entity recognition, and language modeling, plus pretrained word embeddings and language models.",The collection closes a resource gap for Tagalog and Cebuano NLP and includes what the authors describe as the first BERT-based language model trained exclusively for Cebuano.,"iTANONG unlabeled Tagalog and Cebuano corpus scraped from government and media websites, social media, and online forums, iTANONG-DS sentiment analysis dataset with balanced, unbalanced-A, and unbalanced-B subsets, iTANONG-POS part-of-speech tagging dataset with 3,919 tagged sequences, iTANONG-NER dataset with 6,230 data points, HateSpeech dataset by Cruz and Cheng (2022) for sentiment benchmark comparison, WikiAnn NER dataset for benchmark comparison","Benchmark datasets are crucial for evaluating algorithms and models objectively. They provide a standardized basis for comparisons, promote reproducibility, and drive innovation by establishing baselines and encouraging advancements in the field. Limited benchmark datasets exist for various natural language processing tasks in low-resource languages, including most Philippine languages. As part of iTANONG's 10 billion token dataset initiative, the authors release the first iteration of iTANONG-DS1, a collection of unlabeled and labeled datasets for different NLP tasks such as sentiment analysis, part-of-speech tagging, named entity recognition for Tagalog, and language modeling for Cebuano."
arxiv-2210.04573,Fekih et al. (2022),2022,HumSet: Dataset of Multilingual Information Extraction and Classification for Humanitarian Crisis Response,Findings of the Association for Computational Linguistics: EMNLP 2022,conference,dataset-benchmark,"humanitarian crisis response, multilingual NLP, multi-label text classification, information extraction","Fine-tuned multilingual pre-trained Transformer language models, mainly XLM-RBase, alongside XtremeDistil6-h256, fastText, and LEAD4 baselines","Analysts responding to humanitarian crises must manually extract and organize key information from large volumes of text, while existing annotated resources are small and mostly sourced from social media.","The authors release HumSet, a multilingual set of about 17K humanitarian documents with expert-annotated entries and humanitarian analysis framework labels, and they define entry extraction and multi-label classification tasks with language model baselines.","HumSet offers a large and reliable expert-annotated alternative to social media crisis data, and XLM-RBase gives the strongest baseline results while the tag-rich subpillar categories remain difficult.",HumSet,"Timely and effective response to humanitarian crises requires quick and accurate analysis of large amounts of text data – a process that can highly benefit from expert-assisted NLP systems trained on validated and annotated data in the humanitarian response domain. To enable creation of such NLP systems, we introduce and release HumSet, a novel and rich multilingual dataset of humanitarian response documents annotated by experts in the humanitarian response community. The dataset provides documents in three languages (English, French, Spanish) and covers a variety of humanitarian crises from 2018 to 2021 across the globe. For each document, HumSet provides selected snippets (entries) as well as assigned classes to each entry annotated using common humanitarian information analysis frameworks. HumSet also provides novel and challenging entry extraction and multi-label entry classification tasks. In this paper, we take a first step towards approaching these tasks and conduct a set of experiments on Pre-trained Language Models (PLM) to establish strong baselines for future research in this domain."
arxiv-2111.10603,Lin et al. (2022),2022,Reasonable Effectiveness of Random Weighting: A Litmus Test for Multi-Task Learning,Transactions on Machine Learning Research (TMLR),journal,experimental,"multi-task learning, task balancing, random weighting, optimization",Random Weighting (Random Loss Weighting and Random Gradient Weighting),"Task balancing methods in multi-task learning are only checked against fixed equal weighting, so their true benefit is unclear because basic random weighting experiments were never used as a baseline.",The paper trains multi-task models with random loss or gradient weights sampled from a distribution each iteration and shows these simple methods match carefully designed balancing strategies.,"Random weighting consistently beats equal weighting and performs comparably with state-of-the-art balancing methods, which makes it a necessary baseline for judging new multi-task learning methods.","NYUv2, CityScapes, CelebA, Office-31, Office-Home, PAWS-X and Universal Dependencies v2.5 from the XTREME benchmark, NVIDIA GeForce RTX 3090 GPU","Multi-Task Learning (MTL) has achieved success in various fields. However, how to balance different tasks to achieve good performance is a key problem. To achieve the task balancing, there are many works to carefully design dynamical loss/gradient weighting strategies but the basic random experiments are ignored to examine their effectiveness. In this paper, we propose the Random Weighting (RW) methods, including Random Loss Weighting (RLW) and Random Gradient Weighting (RGW), where an MTL model is trained with random loss/gradient weights sampled from a distribution. To show the effectiveness and necessity of RW methods, theoretically we analyze the convergence of RW and reveal that RW has a higher probability to escape local minima, resulting in better generalization ability. Empirically, we extensively evaluate the proposed RW methods to compare with twelve state-of-the-art methods on five image datasets and two multilingual problems from the XTREME benchmark to show RW methods can achieve comparable performance with state-of-the-art baselines. Therefore, we think that the RW methods are important baselines for MTL and should attract more attentions."
doi-10.18653-v1-2022.findings-acl.271,Mao et al. (2022),2022,MetaWeighting: Learning to Weight Tasks in Multi-Task Learning,Findings of the Association for Computational Linguistics: ACL 2022,conference,experimental,"multi-task learning, task weighting, meta learning, text classification",MetaWeighting,"Existing task weighting methods in multi-task learning compute task weights only from training losses and ignore the gap between training loss and generalization loss, which degrades MTL performance.","The authors propose MetaWeighting, which learns task weights automatically by solving a multi-objective bi-level optimization problem in a learning-to-learn manner so that the weights target generalization performance.",MetaWeighting learns task weights without any predefined heuristic and outperforms all tested baselines on multi-task text classification with both TextCNN and BERT encoders.,"Amazon product reviews sentiment analysis dataset with 14 binary classification domains (Blitzer et al., 2007), 20 Newsgroups dataset reduced to 16 newsgroups and grouped into four 4-class topic classification tasks, TextCNN encoder with pre-trained GloVe embeddings, pre-trained BERT-base model","Task weighting, which assigns weights on the including tasks during training, significantly matters the performance of Multi-task Learning (MTL); thus, recently, there has been an explosive interest in it. However, existing task weighting methods assign weights only based on the training loss, while ignoring the gap between the training loss and generalization loss. It degenerates MTL's performance. To address this issue, the present paper proposes a novel task weighting algorithm, which automatically weights the tasks via a learning-to-learn paradigm, referred to as MetaWeighting. Extensive experiments are conducted to validate the superiority of our proposed method in multitask text classification."
arxiv-2301.01967,Doğruöz et al. (2021),2021,A Survey of Code-switching: Linguistic and Social Perspectives for Language Technologies,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),conference,survey,"code-switching, multilingualism, language technologies, sociolinguistics",N/A,Computational research on code-switching has concentrated on improving methods while largely neglecting the linguistic and social insights about code-switching documented across many languages in the established linguistics literature.,The authors offer a survey of the linguistics literature on code-switching that reviews structural and functional patterns in European and Indian multilingual contexts and reflects on the key issues this raises for language technologies.,"The authors conclude that massive language models still fail to represent diverse code-switching types because of missing training data, robust evaluation benchmarks, and end-to-end systems covering sociolinguistic factors, and that their survey is a step toward mutual benefit for computational scientists and linguists.",N/A,"The analysis of data in which multiple languages are represented has gained popularity among computational linguists in recent years. So far, much of this research focuses mainly on the improvement of computational methods and largely ignores linguistic and social aspects of C-S discussed across a wide range of languages within the long-established literature in linguistics. To fill this gap, we offer a survey of code-switching (C-S) covering the literature in linguistics with a reflection on the key issues in language technologies. From the linguistic perspective, we provide an overview of structural and functional patterns of C-S focusing on the literature from European and Indian contexts as highly multilingual areas. From the language technologies perspective, we discuss how massive language models fail to represent diverse C-S types due to lack of appropriate training data, lack of robust evaluation benchmarks for C-S (across multilingual situations and types of C-S) and lack of end-toend systems that cover sociolinguistic aspects of C-S as well. Our survey will be a step towards an outcome of mutual benefit for computational scientists and linguists with a shared interest in multilingualism and C-S."
arxiv-2103.07792,Krishnan et al. (2021),2021,Multilingual Code-Switching for Zero-Shot Cross-Lingual Intent Prediction and Slot Filling,MRL Workshop @ EMNLP 2021,workshop,experimental,"zero-shot cross-lingual transfer, intent detection and slot filling, code-switching data augmentation, crisis informatics",Chunk-level multilingual code-switching data augmentation with a jointly trained mBERT model,"Multilingual transformers retain representations clustered by language, which hurts zero-shot transfer for joint intent prediction and slot filling when the target language is unknown during training.",The authors augment English training data with chunk-level multilingual code-switching into random languages to improve the language neutrality of a fine-tuned joint transformer model.,Multilingual code-switching augmentation improved zero-shot intent accuracy by 4.2 percent and slot F1 by 1.8 percent on average without needing the target language during training.,"MultiATIS++ benchmark dataset, New human-annotated disaster tweet dataset in English and Haitian Creole from the Haiti earthquake, Google Colab K80 GPU, ARGO research computing cluster at George Mason University","Predicting user intent and detecting the corresponding slots from text are two key problems in Natural Language Understanding (NLU). In the context of zero-shot learning, this task is typically approached by either using representations from pre-trained multilingual transformers such as mBERT, or by machine translating the source data into the known target language and then fine-tuning. Our work focuses on a particular scenario where the target language is unknown during training. To this goal, we propose a novel method to augment the monolingual source data using multilingual code-switching via random translations to enhance a transformer’s language neutrality when fine-tuning it for a downstream task. This method also helps discover novel insights on how code-switching with different language families around the world impact the performance on the target language. Experiments on the benchmark dataset of MultiATIS++ yielded an average improvement of +4.2%+4.2\% in accuracy for intent task and +1.8%+1.8\% in F1 for slot task using our method over the state-of-the-art across 88 different languages11 1 Languages that have different morphological structures compared to English, such as Hindi, Turkish, Chinese, and Japanese, yielded higher benefits.. Furthermore, we present an application of our method for crisis informatics using a new human-annotated tweet dataset of slot filling in English and Haitian Creole, collected during Haiti earthquake disaster22 2 Dataset and implementation available at [https://github.com/jitinkrishnan/Multilingual-ZeroShot-SlotFilling](https://github.com/jitinkrishnan/Multilingual-ZeroShot-SlotFilling """").."
arxiv-1707.08114,Zhang and Yang (2021),2021,A Survey on Multi-Task Learning,IEEE Transactions on Knowledge and Data Engineering,journal,survey,"multi-task learning, machine learning, learning theory, deep learning",N/A,"Individual tasks often have too few labeled examples to train accurate learners on their own, and the fast-growing multi-task learning literature lacks a systematic definition and organization of its models, applications, and theory.","The authors formally define multi-task learning and survey the field by classifying MTL algorithms into five categories (feature learning, low-rank, task clustering, task relation learning, and decomposition), and additionally review combinations with other learning paradigms, big-data techniques, applications, and theoretical analyses.","Comparisons of representative models on benchmark datasets show that multi-task learning performs better than single-task learning in most cases, verifying the effectiveness of MTL.",N/A,"Multi-Task Learning (MTL) is a learning paradigm in machine learning and its aim is to leverage useful information contained in multiple related tasks to help improve the generalization performance of all the tasks. In this paper, we give a survey for MTL from the perspective of algorithmic modeling, applications and theoretical analyses. For algorithmic modeling, we give a definition of MTL and then classify different MTL algorithms into five categories, including feature learning approach, low-rank approach, task clustering approach, task relation learning approach and decomposition approach as well as discussing the characteristics of each approach. In order to improve the performance of learning tasks further, MTL can be combined with other learning paradigms including semi-supervised learning, active learning, unsupervised learning, reinforcement learning, multi-view learning and graphical models. When the number of tasks is large or the data dimensionality is high, we review online, parallel and distributed MTL models as well as dimensionality reduction and feature hashing to reveal their computational and storage advantages. Many real-world applications use MTL to boost their performance and we review representative works in this paper. Finally, we present theoretical analyses and discuss several future directions for MTL."
arxiv-2004.12376,Khanuja et al. (2020),2020,GLUECoS : An Evaluation Benchmark for Code-Switched NLP,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics (ACL 2020),conference,dataset-benchmark,"code-switching, evaluation benchmark, multilingual BERT, cross-lingual word embeddings",GLUECoS benchmark and modified mBERT,"Annotated data and standardized multi-task evaluations are scarce for code-switched text, so there has been no comprehensive way to compare embedding and multilingual models across code-switched language understanding tasks.","The authors introduce GLUECoS, a GLUE-style benchmark of six code-switched NLP tasks in English-Hindi and English-Spanish, and use it to evaluate cross-lingual word embeddings against multilingual BERT, including a variant further fine-tuned on synthetic and real code-switched text.","Multilingual BERT outperforms cross-lingual word embeddings on every GLUECoS task, and fine-tuning it on synthetic plus a small amount of real code-switched data gives the best results on most tasks, showing multilingual models can be further optimized for code-switching.","FIRE 2013 LID dataset (English-Hindi language identification), UD POS code-switched dependency dataset (English-Hindi), FG POS dataset from the ICON 2016 shared task (English-Hindi), IIITH Twitter NER corpus (English-Hindi), SAIL code-mixed sentiment corpus from ICON 2017 (English-Hindi), Code-mixed question answering dataset of Chandu et al. 2018 (English-Hindi), New conversational code-switched NLI dataset (English-Hindi), EMNLP 2014 LID shared task dataset (English-Spanish), Bangor Miami corpus (English-Spanish POS tagging), CALCS 2018 NER shared task corpus (English-Spanish), English-Spanish Twitter sentiment corpus of Vilares et al. 2016, IITB English-Hindi parallel corpus used to generate synthetic code-switched data, Twitter and internal parallel corpora used to train cross-lingual embeddings","Code-switching is the use of more than one language in the same conversation or utterance. Recently, multilingual contextual embedding models, trained on multiple monolingual corpora, have shown promising results on cross-lingual and multilingual tasks. We present an evaluation benchmark, GLUECoS, for code-switched languages, that spans several NLP tasks in English-Hindi and English-Spanish. Specifically, our evaluation benchmark includes Language Identification from text, POS tagging, Named Entity Recognition, Sentiment Analysis, Question Answering and a new task for code-switching, Natural Language Inference. We present results on all these tasks using cross-lingual word embedding models and multilingual models. In addition, we fine-tune multilingual models on artificially generated code-switched data. Although multilingual models perform significantly better than cross-lingual models, our results show that in most tasks, across both language pairs, multilingual models fine-tuned on code-switched data perform best, showing that multilingual models can be further optimized for code-switching tasks."
arxiv-1905.07553,Standley et al. (2020),2020,Which Tasks Should Be Learned Together in Multi-task Learning?,Proceedings of the 37th International Conference on Machine Learning,conference,experimental,"multi-task learning, computer vision, task grouping, task relationships",Task grouping framework with branch-and-bound network selection,"Competing task objectives in multi-task networks cause negative transfer, making it unclear which tasks should be grouped together under an inference budget.",The authors propose a task grouping framework that evaluates candidate task subsets and selects network assignments that minimize total loss within a computational budget.,Assigning tasks to multiple networks based on compatibility consistently achieves lower total loss across computational budgets than either a single multi-task network or independent single-task networks.,Taskonomy dataset,"Many computer vision applications require solving multiple tasks in real-time. A neural network can be trained to solve multiple tasks simultaneously using _multi-task learning_ . This can save computation at inference time as only a single network needs to be evaluated. Unfortunately, this often leads to inferior overall performance as task objectives can compete, which consequently poses the question: **which tasks should and should not be learned together in one network when employing multi-task learning?** We study task cooperation and competition in several different learning settings and propose a framework for assigning tasks to a few neural networks such that cooperating tasks are computed by the same neural network, while competing tasks are computed by different networks. Our framework offers a time-accuracy trade-off and can produce better accuracy using less inference time than not only a single large multi-task neural network but also many single-task networks."
arxiv-2010.01683,Yao et al. (2020),2020,Weakly-supervised Fine-grained Event Recognition on Social Media Texts for Disaster Management,AAAI Conference on Artificial Intelligence,conference,experimental,"weak supervision, event recognition, social media mining, disaster management",multi-channel BiLSTM classifier with clustering-assisted word sense disambiguation labeling,"Supervised training of fine-grained event recognizers for individual disaster tweets needs large manually labeled datasets that take days to create, which is too slow for time-critical disaster response.","The approach clusters keyword-matched tweets so an expert can quickly confirm pertinent word senses, then trains a multi-channel BiLSTM using context and reply tweets, and improves coverage through bootstrapping.","Using only 1 to 2 person-hours of labeling effort, the weakly supervised classifiers outperform supervised classifiers trained on more than ten thousand tweets that took over 50 person-hours to annotate.","Hurricane Harvey Twitter dataset (about 65k unlabeled tweets and 11,782 annotated evaluation tweets collected via the GNIP API), Hurricane Florence Twitter dataset (about 69.8k unlabeled tweets and 4,059 annotated evaluation tweets collected via the GNIP API), NVIDIA GeForce GTX 1080 GPU","People increasingly use social media to report emergencies, seek help or share information during disasters, which makes social networks an important tool for disaster management. To meet these time-critical needs, we present a weakly supervised approach for rapidly building high-quality classifiers that label each individual Twitter message with fine-grained event categories. Most importantly, we propose a novel method to create high-quality labeled data in a timely manner that automatically clusters tweets containing an event keyword and asks a domain expert to disambiguate event word senses and label clusters quickly. In addition, to process extremely noisy and often rather short user-generated messages, we enrich tweet representations using preceding context tweets and reply tweets in building event recognition classifiers. The evaluation on two hurricanes, Harvey and Florence, shows that using only 1-2 person-hours of human supervision, the rapidly trained weakly supervised classifiers outperform supervised classifiers trained using more than ten thousand annotated tweets created in over 50 person-hours."
arxiv-2008.13544,Zahera et al. (2020),2020,I-AID: Identifying Actionable Information from Disaster-related Tweets,IEEE Access,journal,experimental,"multi-label text classification, crisis informatics, social media analysis, meta learning",I-AID,"Classifying disaster tweets into fine-grained categories is difficult because tweets are noisy, lack sufficient contextual information, and often belong to multiple labels simultaneously.","The authors propose I-AID, a framework that combines a BERT encoder, a graph attention network for label correlation, and a relation network for distance metric learning.",I-AID outperforms state of the art baselines in weighted F1 score across both crisis datasets and achieves a positive Accumulated Alert Worth score on high priority tweets.,"TREC-IS, COVID-19 Tweets","Social media plays a significant role in disaster management by providing valuable data about affected people, donations and help requests. Recent studies highlight the need to filter information on social media into fine-grained content labels. However, identifying useful information from massive amounts of social media posts during a crisis is a challenging task. In this paper, we propose I-AID, a multimodel approach to automatically categorize tweets into multi-label information types and filter critical information from the enormous volume of social media data. I-AID incorporates three main components: i) a BERT-based encoder to capture the semantics of a tweet and represent as a low-dimensional vector, ii) a graph attention network (GAT) to apprehend correlations between tweets’ words/entities and the corresponding information types, and iii) a Relation Network as a learnable distance metric to compute the similarity between tweets and their corresponding information types in a supervised way. We conducted several experiments on two real publicly-available datasets. Our results indicate that I-AID outperforms state-of-the-art approaches in terms of weighted average F1 score by +6%+6\% and +4%+4\% on the TREC-IS dataset and COVID-19 Tweets, respectively."
arxiv-1908.01765,Imperial et al. (2019),2019,Sentiment Analysis of Typhoon Related Tweets using Standard and Bidirectional Recurrent Neural Networks,Proceedings of the 14th National Natural Language Processing Research Symposium - Student Research Workshop,workshop,experimental,"sentiment analysis, recurrent neural networks, Twitter, natural disaster response",Standard and bidirectional Recurrent Neural Networks,"Despite Filipinos producing vast amounts of tweets during natural disasters, very little research has tapped this data to understand the emotions Filipinos express on Twitter during calamities such as Typhoon Yolanda.","The authors collect and preprocess Typhoon Yolanda related Filipino tweets, manually annotate a balanced sample of 3,900 tweets as positive, negative, or neutral, and train standard and bidirectional recurrent neural networks with Word2Vec features and varied hyperparameters to classify sentiment before, during, and after the typhoon.","Both standard and bidirectional RNNs proved effective for typhoon-related tweet sentiment analysis, scoring above 80% on all evaluation metrics with best accuracies of 81.79% for fine-grained and 87.69% for binary classification, and applying the trained model to the full dataset revealed that 51.1% of tweets were positive, 19.8% negative, and 29% neutral.","Typhoon Yolanda related Filipino tweets collected from Twitter (39,867 preprocessed tweets; 3,900 manually annotated)","The Philippines is a common ground to natural calamities like typhoons, floods, volcanic eruptions and earthquakes. With Twitter as one of the most used social media platform in the Philippines, a total of 39,867 preprocessed tweets were obtained given a time frame starting from November 1, 2013 to January 31, 2014. Sentiment analysis determines the underlying emotion given a series of words. The main purpose of this study is to identify the sentiments expressed in the tweets sent by the Filipino people before, during, and after Typhoon Yolanda using two variations of Recurrent Neural Networks; standard and bidirectional. The best generated models after training with various hyperparameters achieved a high accuracy of 81.79% for fine-grained classification using standard RNN and 87.69% for binary classification using bidirectional RNN. Findings revealed that 51.1% of the tweets sent were positive expressing support, love, and words of courage to the victims; 19.8% were negative stating sadness and despair for the loss of lives and hate for corrupt officials; while the other 29% were neutral tweets from local news stations, announcements of relief operations, donation drives, and observations by citizens."
doi-10.1145-3341161.3342936,Kejriwal and Zhou (2019),2019,Low-supervision urgency detection and transfer in short crisis messages,Proceedings of the 2019 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),conference,experimental,"crisis informatics, urgency detection, transfer learning, low-supervision machine learning","Weighted ensemble of three linear regression classifiers over manual, local fastText, and pre-trained Wikipedia embedding features, with an up-sampled source-target transfer variant","Detecting urgent needs in short social media messages during humanitarian crises is hard because only a handful of labeled examples exist when a disaster strikes, each disaster has different characteristics, and social media text is noisy.","The authors build an urgency classifier from a few hundred labeled tweets by combining manual keyword features, locally trained fastText embeddings, and pre-trained Wikipedia embeddings in a weighted ensemble, and add a transfer variant that trains the ensemble on pooled source and target labeled data with the target up-sampled when no background corpus exists for the new crisis.","The ensemble and transfer learning approaches beat single-feature-set baselines with high statistical significance across the three disaster datasets, with the best low-supervision result being 69.44% F-Measure on Nepal.","Nepal earthquake tweet dataset (DARPA LORELEI), Macedonia live-action disaster simulation dataset (DARPA LORELEI), Kerala floods tweet dataset","Humanitarian disasters have been on the rise in recent years due to the effects of climate change and socio-political situations such as the refugee crisis. Technology can be used to best mobilize resources such as food and water in the event of a natural disaster, by semi-automatically flagging tweets and short messages as indicating an urgent need. The problem is challenging not just because of the sparseness of data in the immediate aftermath of a disaster, but because of the varying characteristics of disasters in developing countries (making it difficult to train just one system) and the noise and quirks in social media. In this paper, we present a robust, low-supervision social media urgency system that adapts to arbitrary crises by leveraging both labeled and unlabeled data in an ensemble setting. The system is also able to adapt to new crises where an unlabeled background corpus may not be available yet by utilizing a simple and effective transfer learning methodology. Experimentally, our transfer learning and low-supervision approaches are found to outperform viable baselines with high significance on myriad disaster datasets."
arxiv-1901.11504,Liu et al. (2019),2019,Multi-Task Deep Neural Networks for Natural Language Understanding,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics (ACL 2019),conference,experimental,"multi-task learning, natural language understanding, language model pretraining, domain adaptation",Multi-Task Deep Neural Network (MT-DNN),"Supervised learning of deep neural networks for individual natural language understanding tasks requires large amounts of task-specific labeled data that is often unavailable, and the resulting representations tend to overfit to a single task and generalize poorly to new tasks and domains.","The authors combine multi-task learning with language model pre-training by extending the MT-DNN architecture to use a pre-trained BERT bidirectional Transformer as shared text-encoding layers, with task-specific output layers trained jointly across many NLU tasks via mini-batch SGD.","MT-DNN achieved new state-of-the-art results on ten NLU tasks, pushing the GLUE benchmark to 82.7% (a 2.2% absolute improvement over BERT_LARGE) and reaching 91.6% on SNLI and 95.0% on SciTail, while its learned representations enabled domain adaptation with substantially fewer in-domain labels than pre-trained BERT.","GLUE benchmark (CoLA, SST-2, MNLI, RTE, WNLI, QQP, MRPC, STS-B, QNLI), SNLI, SciTail","In this paper, we present a Multi-Task Deep Neural Network (MT-DNN) for learning representations across multiple natural language understanding (NLU) tasks. MT-DNN not only leverages large amounts of cross-task data, but also benefits from a regularization effect that leads to more general representations to help adapt to new tasks and domains. MT-DNN extends the model proposed in [Liu et al. (2015)](#bib.bib16 """") by incorporating a pre-trained bidirectional transformer language model, known as BERT ([Devlin et al., 2018](#bib.bib6 """")). MT-DNN obtains new state-of-the-art results on ten NLU tasks, including SNLI, SciTail, and eight out of nine GLUE tasks, pushing the GLUE benchmark to 82.7% (2.2% absolute improvement) 11 1 As of February 25, 2019 on the latest GLUE test set.. We also demonstrate using the SNLI and SciTail datasets that the representations learned by MT-DNN allow domain adaptation with substantially fewer in-domain labels than the pre-trained BERT representations. The code and pre-trained models are publicly available at https://github.com/namisan/mt-dnn."
arxiv-1804.07461,Wang et al. (2019),2019,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,7th International Conference on Learning Representations (ICLR 2019),conference,dataset-benchmark,"natural language understanding, multi-task learning, benchmark evaluation, transfer learning",multi-task BiLSTM sentence encoder with attention and ELMo/CoVe transfer learning,"Most NLU models are built for one specific task and generalize poorly across tasks and domains, and before this work the field lacked a unified benchmark for measuring genuinely general language understanding.","The authors assemble GLUE, a benchmark of nine existing sentence- and sentence-pair-level NLU tasks served through an online evaluation platform, together with a hand-crafted diagnostic dataset, and deliberately include low-resource tasks so that strong models must share linguistic knowledge across tasks.","Multi-task training on all GLUE tasks, especially when combined with attention and ELMo, outperforms per-task training and pretrained sentence encoders, yet the best model's absolute scores remain low enough that GLUE stays beyond the reach of the then-current methods.","CoLA (Corpus of Linguistic Acceptability), SST-2 (Stanford Sentiment Treebank), MRPC (Microsoft Research Paraphrase Corpus), QQP (Quora Question Pairs), STS-B (Semantic Textual Similarity Benchmark), MNLI (Multi-Genre Natural Language Inference Corpus), QNLI (Question-answering NLI, derived from SQuAD), RTE (combined RTE1, RTE2, RTE3, and RTE5), WNLI (Winograd NLI), GLUE diagnostic dataset (new hand-crafted NLI analysis set created by this paper), SNLI (used as 550k examples of auxiliary training data for MNLI)","For natural language understanding (NLU) technology to be maximally useful, it must be able to process language in a way that is not exclusive to a single task, genre, or dataset. In pursuit of this objective, we introduce the General Language Understanding Evaluation (GLUE) benchmark, a collection of tools for evaluating the performance of models across a diverse set of existing NLU tasks. By including tasks with limited training data, GLUE is designed to favor and encourage models that share general linguistic knowledge across tasks. GLUE also includes a hand-crafted diagnostic test suite that enables detailed linguistic analysis of models. We evaluate baselines based on current methods for transfer and representation learning and find that multi-task training on all tasks performs better than training a separate model per task. However, the low absolute performance of our best model indicates the need for improved general NLU systems."
arxiv-1611.01587,Hashimoto et al. (2017),2017,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing (EMNLP 2017),conference,experimental,"multi-task learning, transfer learning, recurrent neural networks, natural language processing",Joint Many-Task (JMT) model,Multi-task NLP models typically address only few related tasks and ignore linguistic hierarchies because they predict outputs at the same layer or in isolated pipelines.,The authors present a joint many-task model that stacks recurrent layers for increasingly complex linguistic tasks and uses shortcut connections with successive regularization.,"The single end-to-end JMT model outperforms single-task baselines across all five tasks and achieves state-of-the-art or competitive results on chunking, parsing, relatedness, and entailment.","Wall Street Journal portion of Penn Treebank (POS tagging), Wall Street Journal corpus with CoNLL-2000 split (chunking), Wall Street Journal corpus with Stanford dependencies (dependency parsing), SICK dataset (semantic relatedness and textual entailment), English Wikipedia text (embedding pre-training)","Transfer and multi-task learning have traditionally focused on either a single source-target pair or very few, similar tasks. Ideally, the linguistic levels of morphology, syntax and semantics would benefit each other by being trained in a single model. We introduce a joint many-task model together with a strategy for successively growing its depth to solve increasingly complex tasks. Higher layers include shortcut connections to lower-level task predictions to reflect linguistic hierarchies. We use a simple regularization term to allow for optimizing all model weights to improve one task’s loss without exhibiting catastrophic interference of the other tasks. Our single end-to-end model obtains state-of-the-art or competitive results on five different tasks from tagging, parsing, relatedness, and entailment tasks."
doi-10.1111-1468-5973.12194,Li et al. (2017),2017,Disaster Response Aided by Tweet Classification with a Domain Adaptation Approach,Journal of Contingencies and Crisis Management,journal,experimental,"domain adaptation, disaster response, tweet classification, naive bayes",weighted Naïve Bayes domain adaptation with iterative self-training (NB-ST),"Supervised classifiers learned from one disaster perform poorly on a new disaster because each event produces unique social media responses, and labeled data for the new event is unavailable.",The authors adapt a weighted Naïve Bayes domain adaptation algorithm that uses self-training with hard labels to combine source labeled tweets with target unlabeled tweets.,"Domain adaptation classifiers beat supervised classifiers trained only on source data, with self-training generally better than expectation maximization, and results close to an ideal classifier trained on labeled target data.","CrisisLexT6 dataset of tweets from six disasters (Olteanu et al., 2014), Beocat Research Cluster at Kansas State University","Social media platforms such as Twitter provide valuable information for aiding disaster response during emergency events. Machine learning could be used to identify such information. However, supervised learning algorithms rely on labeled data, which is not readily available for an emerging target disaster. While labeled data might be available for a prior source disaster, supervised classifiers learned only from the source disaster may not perform well on the target disaster, as each event has unique characteristics (e.g., type, location, culture) and may cause different social media responses. To address this limitation, we propose to use a domain adaptation approach, which learns classifiers from unlabeled target data, in addition to source labeled data. Our approach uses the Naïve Bayes classifier, together with an iterative Self-­Training strategy. Experimental results on the task of identifying tweets relevant to a disaster of interest show that the domain adaptation classifiers are better as compared to the supervised classifiers learned only from labeled source data."
