paper_id,citation,year,title,venue,venue_type,pillar,paper_type,algorithm_or_model,role_in_thesis,problem,proposed_solution,claim,dataset_testbed,abstract
arxiv-2110.08010,Wang et al. (2021),2021,Transformer-based Multi-task Learning for Disaster Tweet Categorisation,Proceedings of the 18th ISCRAM Conference – Social Media for Disaster Response and Resilience,conference,Crisis Informatics & Triage,experimental,Transformer-based multi-task learning (MTL) with ensemble of transformer encoders,Demonstrates that multi-task transformer architectures improve joint prediction of humanitarian information types and priority levels over single-task baselines.,"Emergency responders need crisis-related social media messages to be automatically categorised by information type and priority, because the volume of tweets grows explosively during a disaster and manual identification of useful messages is not feasible.","The authors fine-tune transformer encoders in a multi-task learning framework that jointly performs multi-label information type classification and priority estimation on disaster tweets, and further combine multiple such models through a simple ensemble of their predictions.","The transformer-based multi-task approach outperforms single-task and traditional machine learning baselines, and an ensemble of four multi-task transformer models achieves state-of-the-art performance in almost every TREC-IS evaluation metric, reaching an overall harmonic mean score of 0.3141.","TREC-IS 2018, TREC-IS 2019A, TREC-IS 2019B, TREC-IS 2020A, RTX-2080Ti GPU, RTX-2070 Super GPU","Social media has enabled people to circulate information in a timely fashion, thus motivating people to post messages seeking help during crisis situations. These messages can contribute to the situational awareness of emergency responders, who have a need for them to be categorised according to information types (i.e. the type of aid services the messages are requesting). We introduce a transformer-based multi-task learning (MTL) technique for classifying information types and estimating the priority of these messages. We evaluate the effectiveness of our approach with a variety of metrics by submitting runs to the TREC Incident Streams (IS) track: a research initiative specifically designed for disaster tweet classification and prioritisation. The results demonstrate that our approach achieves competitive performance in most metrics as compared to other participating runs. Subsequently, we find that an ensemble approach combining disparate transformer encoders within our approach helps to improve the overall effectiveness to a significant extent, achieving state-of-the-art performance in almost every metric. We make the code publicly available so that our work can be reproduced and used as a baseline for the community for future work in this domain1."
acl-2020.acl-srw.39,Ray Chowdhury et al. (2020),2020,Cross-Lingual Disaster-related Multi-label Tweet Classification with Manifold Mixup,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: Student Research Workshop,conference,Crisis Informatics & Triage,experimental,Multilingual BERT (M-BERT) with Manifold Mixup,Benchmarks multilingual multi-label disaster tweet classification and verifies model generalization on unseen disasters including Philippine floods.,"Most prior disaster-related tweet classification work handles only English and single-label settings, and there was no large-scale standard multilingual dataset for multi-label disaster tweet classification, despite the need in disaster-prone non-English-speaking regions for real-time classifiers.","The authors aggregate existing CrisisNLP and CrisisLex resources into a large multilingual multi-label dataset under a new annotation scheme, train Multilingual BERT with a class-mask-based loss that exploits partially labeled (binary-only) samples alongside multi-class samples, and further augment the model with Manifold Mixup.","Multilingual BERT fine-tuned with Manifold Mixup outperforms all non-BERT baselines and consistently improves over plain M-BERT, generalizing to unseen disasters and achieving strong zero-shot transfer to unseen languages such as Spanish, French, and Italian.","Aggregated multilingual disaster tweet dataset of over 130K samples built from CrisisNLP resources #1, #4, #5, #7 and CrisisLexT6 and CrisisLexT26, Russia Meteor test set, Cyclone Pam test set, Philippines Flood test set, Mixed disasters test set","Distinguishing informative and actionable messages from a social media platform like Twitter is critical for facilitating disaster management. For this purpose, we compile a multilingual dataset of over 130K samples for multilabel classification of disaster-related tweets. We present a masking-based loss function for partially labeled samples and demonstrate the effectiveness of Manifold Mixup in the text domain. Our main model is based on Multilingual BERT, which we further improve with Manifold Mixup. We show that our model generalizes to unseen disasters in the test set. Furthermore, we analyze the capability of our model for zero-shot generalization to new languages. Our code, dataset, and other resources are available on Github.<sup>1</sup>"
acl-2020.coling-main.414,Sarioglu Kayi et al. (2020),2020,Detecting Urgency Status of Crisis Tweets: A Transfer Learning Approach for Low Resource Languages,Proceedings of the 28th International Conference on Computational Linguistics,conference,Crisis Informatics & Triage,experimental,"Embedding-feature classifiers (MLP, CNN, SVM, RF) with self-training data augmentation and ensemble voting over RoBERTa, LASER, XLM-R, VecMap, and ProcB features",Validates cross-lingual transfer learning with pretrained contextual embeddings to detect urgency in low-resource disaster tweets.,"Crisis response needs urgent social media post detection, but automated language tools and labeled urgency data do not exist for most low-resource languages.",The authors release crisis tweet urgency datasets and evaluate zero-shot cross-lingual transfer from English to Sinhala and Odia using contextual and projection embeddings.,Deep contextual embeddings enable effective crisis urgency detection and zero-shot cross-lingual transfer to low-resource languages even with very small labeled datasets.,"English crisis tweet urgency dataset (1,919 annotations created by the authors on Figure-Eight), Sinhala urgency evaluation dataset (LORELEI IL10, LDC2018E57, 181 natively annotated sentences), Odia urgency evaluation dataset (LORELEI IL11, LDC2019E62, 510 natively annotated sentences), Unlabeled crisis-related tweets from the Imran et al. (2016) disaster tweet collection used for self-training augmentation, English-Sinhala (415,042 sentences) and English-Odia (454,540 sentences) parallel corpora from LDC LORELEI packages used to build projection-based cross-lingual embeddings","We release an urgency dataset that consists of English tweets relating to natural crises. The set is annotated along with annotations of their corresponding urgency status. Additionally, we release evaluation datasets for two low-resource languages, i.e. Sinhala and Odia, and demonstrate an effective zero-shot transfer from English to these two languages by training cross-lingual classifiers. We adopt cross-lingual embeddings constructed using different methods to extract features of the tweets, including a few state-of-the-art contextual embeddings such as BERT, RoBERTa and XLM-R. We train a variety of classifier architectures, supervised and semi supervised, on the extracted features. We also further experiment with ensembling the various classifiers. With very limited amounts of labeled data in English and zero data in the low resource languages, we show a successful framework of training monolingual and cross-lingual classifiers using deep learning methods which are known to be data hungry. Specifically, we show that the recent deep contextual embeddings are also helpful when dealing with very small-scale datasets. Classifiers that incorporate RoBERTa yield the best performance for the English urgency detection task, with 25% F1 score absolute improvement over the baselines. For the zero-shot transfer to low resource languages, classifiers that use LASER features perform the best for Sinhala transfer while XLM-R features benefit the Odia transfer the most."
arxiv-1605.05894,Imran et al. (2016),2016,Twitter as a Lifeline: Human-annotated Twitter Corpora for NLP of Crisis-related Messages,Proceedings of the Tenth International Conference on Language Resources and Evaluation (LREC 2016),conference,Crisis Informatics & Triage,dataset-benchmark,"Naive Bayes, Support Vector Machines, and Random Forest crisis-message classifiers",Establishes the foundational humanitarian taxonomy and crowdsourced annotation methodology for classifying crisis messages during sudden-onset disasters.,"Crisis-informatics researchers cannot fully exploit NLP and machine learning methods for disaster-related Twitter messages because human-annotated data for such short, noisy, informal texts is scarce.","The authors collect over 52 million crisis-related tweets from 19 crises, have volunteers and paid crowdsourced workers annotate around 50,000 of them with UN OCHA-derived information categories and out-of-vocabulary normalizations, and release the corpora, trained classifiers, word2vec embeddings, and lexical resources to the research community.","The released human-annotated corpora are effective for training multiclass message classifiers, with most information categories reaching acceptable AUC levels (at or above 0.80), and the resources can improve NLP for crisis messages and disaster response efforts.","Nepal Earthquake tweets, Terremoto Chile tweets, Chile Earthquake tweets, California Earthquake tweets, Pakistan Earthquake tweets, Cyclone PAM tweets, Typhoon Hagupit tweets, Hurricane Odile tweets, Iceland Volcano tweets, Landslides worldwide tweets (English), Landslides worldwide tweets (French), Landslides worldwide tweets (Spanish), Pakistan Floods tweets, India Floods tweets, Palestine Conflict tweets, Peshawar Attack Pakistan tweets, Middle East Respiratory Syndrome tweets, Ebola virus outbreak tweets, Malaysia Airlines flight MH370 tweets","Microblogging platforms such as Twitter provide active communication channels during mass convergence and emergency events such as earthquakes, typhoons. During the sudden onset of a crisis situation, affected people post useful information on Twitter that can be used for situational awareness and other humanitarian disaster response efforts, if processed timely and effectively. Processing social media information pose multiple challenges such as parsing noisy, brief and informal messages, learning information categories from the incoming stream of messages and classifying them into different classes among others. One of the basic necessities of many of these tasks is the availability of data, in particular human-annotated data. In this paper, we present human-annotated Twitter corpora collected during 19 different crises that took place between 2013 and 2015. To demonstrate the utility of the annotations, we train machine learning classifiers. Moreover, we publish first largest word2vec word embeddings trained on 52 million crisis-related tweets. To deal with tweets language issues, we present human-annotated normalized lexical resources for different lexical variations."
doi-10.12720-jait.16.2.233-242,Adoptante et al. (2025),2025,Benchmarking Open-Source Large Language Models on Code-Switched Tagalog-English Retrieval Augmented Generation,Journal of Advances in Information Technology,journal,Philippine NLP & Code-Switching,experimental,"Five open-source LLMs (Mistral-7B-Instruct-v0.3, SeaLLMs-v3-1.5B-Chat, Falcon-7b-instruct, Phi-3-mini-4k-instruct, Gemma-7b-it) in a LangChain and FAISS RAG pipeline",Establishes performance degradation in open-source language models when processing code-switched Taglish queries relative to standard English.,"It is unclear how well open-source LLMs handle Tagalog-English code-switched queries in retrieval-augmented generation, and code-switching raises the risk of hallucinated answers.","The authors built a RAG question answering pipeline around five open-source LLMs and benchmarked their answers to English, Tagalog, and Taglish questions with overlap metrics and LLM-judged quality metrics.","Mistral and SeaLLM clearly beat Falcon, Phi-3-mini, and Gemma at producing grounded and relevant answers for code-switched queries, while all models performed best on English, next on Taglish, and worst on Tagalog.","Curated corpus of nine .txt and .pdf documents covering news articles, short stories, and academic literature written in English, Tagalog, or Taglish, Manually built evaluation set of 15 question-answer pairs per document, grouped into five questions each in English, Tagalog, and Taglish","Code-switching, the alternation between languages within a sentence or discourse, poses significant challenges in Natural Language Processing (NLP). Effective NLP systems must employ advanced modeling techniques to accurately process and generate code-switched text, capturing the linguistic nuances and contextual dependencies. This study evaluates five open-source Large Language Models (LLMs)—Mistral, SeaLLM, Falcon, Phi-3-mini, and Gemma—on their performance with code-switched Tagalog-English (Taglish) queries in a retrieval-augmented generation (RAG) task. Mistral and SeaLLM outperformed the others in generating contextually grounded and relevant answers, attributed to their advanced architectures and extensive multilingual training data. In contrast, Falcon, Phi-3-mini, and Gemma struggled with effective code-switching handling. The models performed best on English queries, followed by Taglish, with the lowest performance on Tagalog queries, highlighting the need for more balanced training data for low-resource languages. Additionally, models retrieved context better from .pdf documents compared to .txt files. Future research should focus on analyzing language composition in datasets, investigating real-world codeswitching behavior, and studying the effects of code-switching on model understanding to enhance NLP accessibility for underrepresented languages."
arxiv-2509.02160,Africa et al. (2025),2025,Meta-Pretraining for Zero-Shot Cross-Lingual Named Entity Recognition in Low-Resource Philippine Languages,Proceedings of the 5th Workshop on Multilingual Representation Learning (MRL 2025),workshop,Philippine NLP & Code-Switching,experimental,First-order MAML meta-pretrained Pico decoder language models (Pico-MAML),Demonstrates meta-pretraining techniques that enable compact decoder models to perform entity recognition on Philippine languages under strict latency constraints.,"Zero-shot named entity recognition in low-resource languages normally requires finetuning very large multilingual language models, which is impractical when memory or latency is constrained, and standard pretraining fails to adapt to languages with unfamiliar morphosyntactic cues.","The authors propose meta-pretraining small decoder language models by replacing part of the autoregressive pretraining objective with first-order model-agnostic meta-learning (MAML) episodes, so that the initialization transfers zero-shot to unseen low-resource languages without any in-language exposure.","Replacing part of autoregressive pretraining with first-order MAML lets small decoder language models improve zero-shot NER transfer to Tagalog and Cebuano by 2-6 micro-F1 percentage points under head-only tuning and 1-3 points after full tuning, with the largest gains on single-token person entities anchored by Tagalog case particles.","Pico decoder language models (11M, 65M, 181M, 570M parameters), Pico pre-tokenized Dolma pretraining corpus, Paloma perplexity benchmark, Universal NER v1 zero-shot test sets (Tagalog tl_trg, Tagalog tl_ugnayan, Cebuano ceb_gja), Universal NER v1 high-resource finetuning sets (da_ddt, en_ewt, hr_set, pt_bosque, sk_snk, sr_set, sv_talbanken, zh_gsd, zh_gsdsimp), 4x NVIDIA A100-80GB GPUs","Named-entity recognition (NER) in low-resource languages is usually tackled by finetuning very large multilingual LMs, an option that is often infeasible in memory- or latency-constrained settings. We ask whether small decoder LMs can be pretrained so that they adapt quickly and transfer zero-shot to languages unseen during pretraining. To this end we replace part of the autoregressive objective with first-order model-agnostic meta-learning (MAML). Tagalog and Cebuano are typologically similar yet structurally different in their actor/non-actor voice systems, and hence serve as a challenging test-bed. Across four model sizes (11 M – 570 M) MAML lifts zero-shot micro-F1 by 2–6 pp under head-only tuning and 1–3 pp after full tuning, while cutting convergence time by up to 8%. Gains are largest for single-token person entities that co-occur with Tagalog case particles *si*/*ni*, highlighting the importance of surface anchors."
arxiv-2502.14911,Montalan et al. (2025),2025,Batayan: A Filipino NLP benchmark for evaluating Large Language Models,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (ACL 2025),conference,Philippine NLP & Code-Switching,dataset-benchmark,Batayan benchmark,Evaluates model performance across authentic Tagalog and code-switched Taglish text to measure linguistic capabilities without translationese bias.,"Filipino remains under-represented in multilingual benchmarks, while existing corpora suffer from unnatural translationese and narrow task diversity because they rely on machine translations.","The authors create Batayan, an eight-task Filipino benchmark curated and validated by native speakers to evaluate understanding, reasoning, and generation across large language models.","Models with dedicated Filipino instruction tuning achieve superior performance across diverse tasks on Batayan, rivaling and occasionally exceeding larger commercial models.","Batayan (newly created Filipino benchmark with 3,800 test instances), PAWS, Belebele (Tagalog subset), PH election-related tweets dataset (Cabasag et al., 2019), Balanced COPA, XNLI, XL-Sum, FLORES 200","Recent advances in large language models (LLMs) have demonstrated remarkable capabilities on widely benchmarked high-resource languages. However, linguistic nuances of under-resourced languages remain unexplored. We introduce Batayan, a holistic Filipino benchmark that systematically evaluates LLMs across three key natural language processing (NLP) competencies: understanding, reasoning, and generation. Batayan consolidates eight tasks, three of which have not existed prior for Filipino corpora, covering both Tagalog and code-switched Taglish utterances. Our rigorous, native-speaker-driven adaptation and validation processes ensures fluency and authenticity to the complex morphological and syntactic structures of Filipino, alleviating the pervasive translationese bias in existing Filipino corpora. We report empirical results on a variety of open-source and commercial LLMs, highlighting significant performance gaps that signal the under-representation of Filipino in pre-training corpora, the unique hurdles in modeling Filipino’s rich morphology and construction, and the importance of explicit Filipino language support. Moreover, we discuss the practical challenges encountered in dataset construction and propose principled solutions for building culturally and linguistically-faithful resources in under-represented languages. We also provide a public evaluation suite as a clear foundation for iterative, community-driven progress in Filipino NLP."
arxiv-2311.07161,Miranda (2023),2023,Developing a Named Entity Recognition Dataset for Tagalog,Proceedings of the First Workshop for Southeast Asian Language Processing (SEALP 2023),workshop,Philippine NLP & Code-Switching,dataset-benchmark,TLUnified-NER,Introduces the gold-standard TLUnified-NER dataset necessary for training and evaluating location extraction in Philippine emergency texts.,"Tagalog lacks reliable named entity recognition resources because existing datasets contain noisy silver-standard annotations, narrow domain labels, or restricted access.","The author created TLUnified-NER, a publicly available gold-standard dataset of 7.8k news documents annotated across three entity types by native speakers, and provided baseline benchmarks.",TLUnified-NER provides a high-quality gold-standard Tagalog dataset where context-sensitive transformer models achieve over 90 F1 and outperform models trained on noisy silver annotations.,"TLUnified-NER (new gold-standard dataset curated and annotated by the authors), TLUnified pretraining corpus (source of news texts), WikiANN Tagalog portion (reannotated test set used for cross-dataset comparison)","We present the development of a Named Entity Recognition (NER) dataset for Tagalog. This corpus helps fill the resource gap present in Philippine languages today, where NER resources are scarce. The texts were obtained from a pretraining corpora containing news reports, and were labeled by native speakers in an iterative fashion. The resulting dataset contains ∼\sim7.8k documents across three entity types: Person, Organization, and Location. The inter-annotator agreement, as measured by Cohen’s κ\kappa, is 0.81. We also conducted extensive empirical evaluation of state-of-the-art methods across supervised and transfer learning settings. Finally, we released the data and processing code publicly to inspire future work on Tagalog NLP."
arxiv-2311.07171,Miranda (2023),2023,calamanCy: A Tagalog Natural Language Processing Toolkit,NLP-OSS Workshop (EMNLP 2023),workshop,Philippine NLP & Code-Switching,tool-system,"calamanCy multitask pipelines (tl_calamancy_md, lg, trf)",Provides a unified pipeline architecture for simultaneous sequence labeling and syntactic parsing in Tagalog on constrained computational resources.,"Tagalog is a low-resource language whose corpora, treebanks, and language models are scattered, and no unified framework exists for building its NLP pipelines.","The authors built calamanCy, an open-source toolkit on top of spaCy that provides ready-to-use multitask pipelines for POS tagging, dependency parsing, and named entity recognition in Tagalog.","CalamanCy pipelines are competitive on core Tagalog NLP tasks with a smaller compute footprint, and users with low compute budgets can match multilingual language models using the static vector models.","TLUnified pretraining corpus, TLUnified-NER (annotated NER corpus created in this paper), Merged Universal Dependencies treebanks (TRG and Ugnayan), Hatespeech election tweets dataset (10k tweets), Dengue tweets dataset (4k tweets), 64 vCPU machine with 256 GB RAM for pretraining, T4 or V100 GPU for transformer pipelines","We introduce calamanCy, an open-source toolkit for constructing natural language processing (NLP) pipelines for Tagalog. It is built on top of spaCy, enabling easy experimentation and integration with other frameworks. calamanCy addresses the development gap by providing a consistent API for building NLP applications and offering general-purpose multitask models with out-of-the-box support for dependency parsing, parts-of-speech (POS) tagging, and named entity recognition (NER). calamanCy aims to accelerate the progress of Tagalog NLP by consolidating disjointed resources in a unified framework. The calamanCy toolkit is available on GitHub: https://github.com/ljvmiranda921/calamanCy"
arxiv-2305.15425,Petrov et al. (2023),2023,Language Model Tokenizers Introduce Unfairness Between Languages,37th Conference on Neural Information Processing Systems (NeurIPS 2023),conference,Philippine NLP & Code-Switching,experimental,Tokenizer parity (tokenization premium) metric,Demonstrates that subword tokenizers cause excessive sequence fragmentation and latency penalties on non-English text during local inference.,"Language model tokenizers encode the same content into vastly different numbers of tokens depending on the language, so users of some languages face higher costs, longer latency, and less usable context length for identical services.","The authors introduce a tokenizer parity measure (the tokenization premium of equivalent sentences across languages, computed on a parallel corpus) and argue that future language models should be trained from scratch with multilingually fair subword tokenizers built on UTF-8 that cover all Unicode codepoints.","No examined tokenizer, including multilingual and byte-level ones, achieves parity across languages: the ChatGPT/GPT-4 tokenizer needs up to 15 times more tokens for the same content in some languages than in English, multilingual tokenizers vary by up to a factor of 13, and byte-level models differ by more than 4 times, so the authors call for multilingually fair tokenizers.",FLORES-200 parallel corpus,"Recent language models have shown impressive multilingual performance, even when not explicitly trained for it. Despite this, there are concerns about the quality of their outputs across different languages. In this paper, we show how disparity in the treatment of different languages arises at the tokenization stage, well before a model is even invoked. The same text translated into different languages can have drastically different tokenization lengths, with differences up to 15 times in some cases. These disparities persist even for tokenizers that are intentionally trained for multilingual support. Character-level and byte-level models also exhibit over 4 times the difference in the encoding length for some language pairs. This induces unfair treatment for some language communities in regard to the cost of accessing commercial language services, the processing time and latency, as well as the amount of content that can be provided as context to the models. Therefore, we make the case that we should train future language models using multilingually fair subword tokenizers."
arxiv-2212.09660,Winata et al. (2023),2023,The Decades Progress on Code-Switching Research in NLP: A Systematic Survey on Trends and Challenges,Findings of the Association for Computational Linguistics: ACL 2023,conference,Philippine NLP & Code-Switching,survey,N/A,Documents methodological trends in code-switching research while highlighting the scarcity of open benchmarks for underrepresented code-switched languages.,"Code-switching research in NLP has grown rapidly across many languages, tasks, and methods over recent decades, but the field has lacked a comprehensive systematic survey that consolidates this progress and identifies open challenges.","The authors conduct the first large-scale systematic survey by collecting and manually annotating more than 400 code-switching papers from the ACL Anthology and ISCA proceedings, categorizing them by languages, venues, paper types, datasets, methods, and tasks, and analyzing how linguistic theories and machine learning approaches have evolved.","The survey finds that neural methods and pre-trained multilingual models have increasingly dominated code-switching NLP while rule-based and statistical approaches decline, that research is heavily skewed toward a few language pairs such as Spanish-English and Hindi-English, and that more than 60% of code-switching datasets remain private, hindering reproducibility.",N/A,"Code-Switching, a common phenomenon in written text and conversation, has been studied over decades by the natural language processing (NLP) research community. Initially, code-switching is intensively explored by leveraging linguistic theories and, currently, more machine-learning oriented approaches to develop models. We introduce a comprehensive systematic survey on code-switching research in natural language processing to understand the progress of the past decades and conceptualize the challenges and tasks on the code-switching topic. Finally, we summarize the trends and findings and conclude with a discussion for future direction and open questions for further investigation."
arxiv-2111.06053,Cruz and Cheng (2022),2022,Improving Large-scale Language Models and Resources for Filipino,Proceedings of the 13th Conference on Language Resources and Evaluation (LREC 2022),conference,Philippine NLP & Code-Switching,experimental,RoBERTa (Base and Large) pretrained on TLUnified,Provides the foundational TLUnified pretraining corpus and monolingual RoBERTa models that serve as the primary Philippine language model baselines.,"Filipino, a low-resource language, lacks pretraining corpora and pretrained models that are large and topically varied enough to build robust NLP systems.","The authors construct TLUnified, a large and topically varied Filipino pretraining corpus assembled from multiple sources with filtering and deduplication, and use it to pretrain RoBERTa Base and Large models that are finetuned on three Filipino classification benchmarks.",Pretraining RoBERTa on TLUnified yields substantial test accuracy gains of roughly four to five points over prior Filipino pretrained transformers across three classification benchmarks.,"TLUnified (new Filipino pretraining corpus built from OSCAR, NewsPH, and multiple bilingual bitexts), Filipino Hatespeech Dataset, Filipino Dengue Dataset, NewsPH-NLI Medium (regenerated benchmark split), 8x NVIDIA Tesla P100 GPU server","In this paper, we improve on existing language resources for the low-resource Filipino language in two ways. First, we outline the construction of the TLUnified dataset, a large-scale pretraining corpus that serves as an improvement over smaller existing pretraining datasets for the language in terms of scale and topic variety. Second, we pretrain new Transformer language models following the RoBERTa pretraining technique to supplant existing models trained with small corpora. Our new RoBERTa models show significant improvements over existing Filipino models in three benchmark datasets with an average gain of 4.47% test accuracy across the three classification tasks of varying difficulty."
acl-2022.lrec-1.225,Herrera et al. (2022),2022,TweetTaglish: A Dataset for Investigating Tagalog-English Code-Switching,Proceedings of the 13th Conference on Language Resources and Evaluation (LREC 2022),conference,Philippine NLP & Code-Switching,dataset-benchmark,Dictionary-based word-level language identification and regression benchmark models,Contributes a large corpus of Tagalog-English social media posts annotated with language distributions to analyze code-switching behavior.,Tagalog and Tagalog-English code-switched text are underrepresented in NLP because Tagalog data is scarce and standard models struggle with mixed-language inputs.,"The authors create TweetTaglish, a dataset of 21,150 code-switched tweets annotated with language distribution percentages using dictionary lookup and validated through regression experiments.","Benchmarking experiments demonstrate dataset validity, with a multilayer perceptron regression model predicting language distributions and outperforming the mean baseline across English, Tagalog, and Other classes.","TweetTaglish (21,150 Tagalog-English code-switched tweets)","Deploying recent natural language processing innovations to low-resource settings allows for state-of-the-art research findings and applications to be accessed across cultural and linguistic borders. One low-resource setting of increasing interest is _codeswitching_ , the phenomenon of combining, swapping, or alternating the use of two or more languages in continuous dialogue. In this paper, we introduce a large dataset (20k+ instances) to facilitate investigation of Tagalog-English code-switching, which has become a popular mode of discourse in Philippine culture. Tagalog is an Austronesian language and former official language of the Philippines spoken by over 23 million people worldwide, but it and Tagalog-English are under-represented in NLP research and practice. We describe our methods for data collection, as well as our labeling procedures. We analyze our resulting dataset, and finally conclude by providing results from a proof-of-concept regression task to establish dataset validity, achieving a strong performance benchmark (R<sup>2</sup> =0.797–0.909; RMSE=0.068–0.057)."
acl-2020.calcs-1.3,Adouane and Bernardy (2020),2020,When is Multi-task Learning Beneficial for Low-Resource Noisy Code-switched User-generated Algerian Texts?,Proceedings of the LREC 2020 – 4th Workshop on Computational Approaches to Code Switching,workshop,Philippine NLP & Code-Switching,experimental,Multi-task neural network with shared CNN encoders and task-specific decoders,Evaluates multi-task learning across sequence labeling and text classification on noisy code-switched social media text.,"It is unclear whether multi-task learning benefits low-resource NLP, especially given the scarcity of labelled data for noisy user-generated Algerian Arabic.","The authors jointly train four Algerian NLP tasks with shared encoders while testing task combinations, task order, word context, data size, and data augmentation.","Multi-task learning helps low-resource Algerian NLP only in specific configurations where task pairing, task order, and training data size determine performance gains.","Algerian code-switch detection dataset (Adouane and Dobnik, 2017), Algerian spelling normalisation and correction dataset (Adouane et al., 2019), Algerian sentiment analysis dataset (Adouane et al., 2020), New Algerian code-switched NER dataset created by the authors (46,710 comments, 17,133 named entities)","We investigate when is it beneficial to simultaneously learn representations for several tasks, in low-resource settings. For this, we work with noisy user-generated texts in Algerian, a low-resource non-standardised Arabic variety. That is, to mitigate the problem of the data scarcity, we experiment with jointly learning progressively 4 tasks, namely code-switch detection, named entity recognition, spell normalisation and correction, and identifying users’ sentiments. The selection of these tasks is motivated by the lack of labelled data for automatic morpho-syntactic or semantic sequence-tagging tasks for Algerian, in contrast to the case of much multi-task learning for NLP. Our empirical results show that multi-task learning is beneficial for some tasks in particular settings, and that the effect of each task on another, the order of the tasks, and the size of the training data of the task with more data do matter. Moreover, the data augmentation that we performed with no external resources has been shown to be beneficial for certain tasks."
acl-L16-1292,Gambäck and Das (2016),2016,Comparing the Level of Code-Switching in Corpora,Proceedings of the 10th Conference on Language Resources and Evaluation (LREC 2016),conference,Philippine NLP & Code-Switching,methodology-theory,Code-Mixing Index (corpus-level Cc measure),Supplies the corpus-level Code-Mixing Index used to quantify the degree of code-switching across the language profiles of the evaluation data.,"Social media made large code-switched corpora available for research, but existing corpus comparison measures assume monolingual text and cannot compare the level of code-switching between corpora.","The paper extends an earlier utterance-level Code-Mixing Index into a revised utterance measure and a corpus-level complexity score combining matrix language fraction, code alternation points, and switching frequency.",The measure objectively ranks code-switching levels across six corpora and identifies the English-Nepali EMNLP 2014 corpus as the most code-switched with a Cc value of 49.06.,"Dutch-Turkish online chat corpus (DU-TR), English-Hindi Twitter and Facebook chat corpus (EN-HI), EMNLP 2014 shared task English-Spanish corpus (EN-ES), EMNLP 2014 shared task English-Mandarin Chinese corpus (EN-ZH), EMNLP 2014 shared task English-Nepali corpus (EN-NE), EMNLP 2014 shared task Standard Arabic and Egyptian Arabic corpus (ARB-ARZ)","Social media texts are often fairly informal and conversational, and when produced by bilinguals tend to be written in several different languages simultaneously, in the same way as conversational speech. The recent availability of large social media corpora has thus also made large-scale code-switched resources available for research. The paper addresses the issues of evaluation and comparison these new corpora entail, by defining an objective measure of corpus level complexity of code-switched texts. It is also shown how this formal measure can be used in practice, by applying it to several code-switched corpora."
arxiv-2101.08091,Weld et al. (2022),2022,A survey of joint intent detection and slot-filling models in natural language understanding,ACM Computing Surveys,journal,Methodology & Theory,survey,N/A,Provides the canonical natural language processing precedent for jointly modeling token-level entity extraction and sequence-level classification tasks.,"Although joint models for intent detection and slot filling have rapidly proliferated in natural language understanding, the field lacked an up-to-date, systematic synthesis of the approaches pursued, the issues encountered, the datasets used, and the evaluation practices across this line of research.","The authors compile and organise the natural language understanding literature up to mid-2020, reviewing intent detection, slot filling, and the joint task along the dimensions of feature engineering, model architectures, addressed issues, datasets, and evaluation metrics, and summarising reported benchmark performance to expose trends and future directions.","The survey finds that joint intent and slot models have effectively saturated the standard ATIS and SNIPS benchmarks, with intent accuracy above 99% and slot F1 around 98%, so the field should shift toward new, more natural datasets, unannotated or few-shot settings, generalisation to new domains, and standardised experimental setups.","ATIS, SNIPS","Intent classification and slot filling are two critical tasks for natural language understanding. Traditionally the two tasks have been deemed to proceed independently. However, more recently, joint models for intent classification and slot filling have achieved state-of-the-art performance, and have proved that there exists a strong relationship between the two tasks. This article is a compilation of past work in natural language understanding, especially joint intent classification and slot filling. We observe three milestones in this research so far: Intent detection to identify the speaker’s intention, slot filling to label each word token in the speech/text, and finally, joint intent classification and slot filling tasks. In this article, we describe trends, approaches, issues, data sets, evaluation metrics in intent classification and slot filling. We also discuss representative performance values, describe shared tasks, and provide pointers to future work, as given in prior works. To interpret the state-of-the-art trends, we provide multiple tables that describe and summarise past research along different dimensions, including the types of features, base approaches, and dataset domain used."
